raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Canaan Dog,herding,19819,14.67,0,795,489,2,1,51.0,medium,20.0,55,no data,no data,no data,none,none,no data,no data,no data,"5,872","15,344"
Cane Corso,working,19819,10.95,1,1070,489,2,1,51.0,large,20.35,64,no data,no data,no data,no data,no data,mid-price,900,1500,no data,no data
Cardigan Welsh Corgi,herding,19819,12.7,0,828,489,2,1,51.0,small,14.0,29,Excellent,5-15,>85,none,none,mid-price,395,1085,no data,"13,284"
Cesky Terrier,terrier,19819,8.42,1,795,489,2,1,51.0,small,9.0,29,no data,no data,no data,no data,no data,no data,no data,no data,"3,370","8,807"
Chinese Crested,toy,19819,10.08,1,538,489,2,1,51.0,small,20.35,30,Fair,40-80,>30,no data,no data,budget,125,1300,no data,"10,543"
Chinese Shar Pei,non-sporting,19819,10.95,4,840,489,2,1,51.0,medium,24.0,48,Average,25-40,>50,"canine hay fever, skin, eye, hip problems","Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",mid-price,350,2000,no data,no data
Collie,herding,19819,10.95,2,650,489,2,1,51.0,large,28.0,61,Excellent,5-15,>85,"eye, skin and muscle disorders","Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis",budget,350,950,no data,no data
Curly Coated Retriever,sporting,19819,10.75,0,795,489,2,2,51.0,large,20.35,64,Average,25-40,>50,none,none,no data,no data,no data,"6,548","11,244"
English Foxhound,hound,19819,10.95,0,795,489,2,1,51.0,large,20.35,61,Average,25-40,>50,none,none,no data,no data,no data,no data,no data
Entlebucher Mountain Dog,herding,19819,10.95,1,1167,489,2,1,51.0,medium,20.35,47,no data,no data,no data,no data,no data,mid-price,"1,000","1,300",no data,no data
Field Spaniel,sporting,19819,9.9,0,795,489,1,2,51.0,medium,20.35,44,Above average,15-25,>70,none,none,no data,no data,no data,"3,963","10,355"
